row_id,case_id,process_name,sub_process,activity_id,activity_name,performer_id,performer_type,application_used,start_time,end_time,activity_duration_min,is_manual,automation_possible,automation_type,automation_coverage_pct,manual_effort_min,error_flag,error_type,rework_flag,rework_count,sla_met,sla_delay_hours,tat_hours,employee_role,team_name,region,transaction_amount,cost_per_case,created_at,created_by
1,CASE-770487,F&A,Payroll,ACT-4744854,Reconcile Account,EMP-2679,Human,Email,15-10-2025 23:31,15-10-2025 23:35,3.75,TRUE,TRUE,AI,12.7,3.75,FALSE,,FALSE,0,TRUE,0,0.993,Manager,CBS_AR_Team,EU,14334.59,0.5,15-10-2025 22:15,EMP-1001
2,CASE-948749,Supply Chain,Order Fulfillment,ACT-8090293,Receive Goods,EMP-3547,Human,Oracle EBS,24-10-2025 20:16,40:55.8,24.08,TRUE,TRUE,RPA,42.29,24.08,FALSE,,FALSE,0,TRUE,0,1.777,Manager,CBS_SC_Team,India,,0.68,24-10-2025 18:17,EMP-1002
3,CASE-182627,HR,Payroll,ACT-4226067,Update Payroll,EMP-1750,Human,Email,30-03-2025 20:09,20:28.8,10.53,TRUE,FALSE,,0,10.53,FALSE,,FALSE,0,TRUE,0,3.597,Manager,CBS_Payroll_Team,India,,0.56,30-03-2025 19:21,EMP-1001
4,CASE-319684,HR,Hiring,ACT-3871230,Update Payroll,EMP-5010,Human,Oracle EBS,29-06-2025 20:34,29-06-2025 20:41,7.3,TRUE,TRUE,,68.49,7.3,FALSE,,FALSE,0,TRUE,0,1.419,Analyst,CBS_Payroll_Team,EU,,0.5,29-06-2025 19:59,ingest_job_v1
5,CASE-321231,Supply Chain,Inventory,ACT-9375710,Reconcile Account,EMP-8517,Human,Oracle EBS,14-04-2025 04:51,39:03.1,47.33,TRUE,FALSE,,0,47.33,FALSE,,FALSE,0,TRUE,0,2.503,Approver,CBS_SC_Team,EU,,2.47,14-04-2025 04:39,ingest_job_v1
6,CASE-214975,F&A,AR,ACT-8082668,Update Inventory,EMP-7304,Human,PeopleSoft,20-08-2025 18:04,06:18.6,1.36,TRUE,FALSE,,0,1.36,FALSE,,FALSE,0,TRUE,0,3.907,SME,CBS_Payroll_Team,US,14428.4,0.5,20-08-2025 17:20,ingest_job_v1
7,CASE-407757,F&A,MonthEndClose,ACT-5418934,Validate Invoice,SYSTEM-32,System,Excel,11-02-2025 15:49,11-02-2025 15:49,0.5,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,1.202,System,CBS_SC_Team,US,3099.14,0.5,11-02-2025 13:51,ingest_job_v1
8,CASE-728038,F&A,AP,ACT-7089806,Approve Invoice,BOT-951,Bot,CustomPortal,30-04-2025 18:14,30:26.4,16.09,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,1.232,Bot,CBS_SC_Team,India,14651.56,1.39,30-04-2025 17:57,EMP-1002
9,CASE-676510,F&A,MonthEndClose,ACT-4374754,Reconcile Account,EMP-7537,Human,Email,10-09-2025 17:18,10-09-2025 17:25,7.35,TRUE,FALSE,,0,7.35,FALSE,,FALSE,0,TRUE,0,1.114,Analyst,CBS_AP_Team,US,11100.73,0.51,10-09-2025 15:57,ingest_job_v1
10,CASE-340062,F&A,AP,ACT-6543670,Schedule Shipment,EMP-4899,Human,Workday,18-09-2025 03:19,18-09-2025 03:29,9.85,TRUE,FALSE,,0,9.85,FALSE,,FALSE,0,TRUE,0,3.694,Analyst,CBS_AP_Team,US,9485.81,0.55,18-09-2025 02:23,EMP-1001
